window,modelo,p,d,q,rmse,mae
10,ARIMA_WF_w10_p1_d1_q0,1,1,0,0.0121,0.008635
15,ARIMA_WF_w15_p1_d1_q0,1,1,0,0.011764,0.008428
20,ARIMA_WF_w20_p1_d1_q0,1,1,0,0.011654,0.008378
25,ARIMA_WF_w25_p1_d1_q0,1,1,0,0.011549,0.008305
3,ARIMA_WF_w3_p0_d1_q1,0,1,1,0.012623,0.009211
30,ARIMA_WF_w30_p1_d1_q0,1,1,0,0.011536,0.008301
35,ARIMA_WF_w35_p1_d1_q0,1,1,0,0.01155,0.008284
4,ARIMA_WF_w4_p0_d1_q1,0,1,1,0.012548,0.009121
5,ARIMA_WF_w5_p1_d1_q0,1,1,0,0.012213,0.008675
6,ARIMA_WF_w6_p1_d1_q0,1,1,0,0.012072,0.008564
7,ARIMA_WF_w7_p1_d1_q0,1,1,0,0.01206,0.008624
full,ARIMA_WF_wfull_p1_d1_q0,1,1,0,0.011586,0.008289
